precision,recall,threshold
0.41791666666666666,1.0,8.104888445780775e-06
0.4189640768588137,1.0,1.612744239714889e-05
0.4196652719665272,1.0,1.8192491442063704e-05
0.4776190476190476,1.0,2.2446557721003544e-05
0.4780743565300286,1.0,2.2976757465642037e-05
0.4783023366714354,1.0,2.3066482945234472e-05
0.47921643573817485,1.0,2.4127209542953913e-05
0.49727317798710957,1.0,2.451160676591836e-05
0.5045271629778671,1.0,2.504180651055685e-05
0.5081053698074974,1.0,2.9385598269089133e-05
0.508362899138368,1.0,3.044632486680857e-05
0.5093956323006602,1.0,3.097652461144706e-05
0.5099135739705135,1.0,3.176824918142754e-05
0.5112130479102956,1.0,3.3470486448800366e-05
0.5114737378888322,1.0,3.493488899638394e-05
0.5119959162838182,1.0,3.594397073200453e-05
0.5237597911227154,1.0,3.770296728231776e-05
0.5243073706220596,1.0,3.940520454969057e-05
0.524581589958159,1.0,4.187868883289474e-05
0.5267857142857143,1.0,4.226308605585918e-05
0.5281727224855187,1.0,4.269342494773655e-05
0.531813361611877,1.0,4.458876200194037e-05
0.53895754970446,1.0,4.656128576830483e-05
0.5421621621621622,1.0,4.747769097131488e-05
0.5424553812871823,1.0,4.81978041567494e-05
0.5427489177489178,1.0,4.862814304862675e-05
0.5433369447453954,1.0,4.920557944891002e-05
0.5439262472885033,1.0,4.9924738613451575e-05
0.5442213781877374,1.0,5.0523480102830576e-05
0.5457018498367792,1.0,5.090787732579502e-05
0.5465940054495912,1.0,5.19897876583664e-05
0.5474890829694323,1.0,5.3410600836797984e-05
0.547788093937739,1.0,5.5035391508946747e-05
0.5520088057237205,1.0,5.5229528479100734e-05
0.5619047619047619,1.0,5.5352721166483974e-05
0.5622197309417041,1.0,5.684259542668524e-05
0.5625350532809871,1.0,5.88151191930497e-05
0.5628507295173962,1.0,6.044490423767737e-05
0.5634831460674158,1.0,6.097010960983697e-05
0.5641169853768279,1.0,6.116424657999095e-05
0.5653889515219842,1.0,6.154864380295539e-05
0.5663466967814794,1.0,6.207884354759387e-05
0.5673076923076923,1.0,6.234024129188119e-05
0.568271954674221,1.0,6.431276505824567e-05
0.56859410430839,1.0,6.728922493369163e-05
0.5689166193987522,1.0,6.827495939277141e-05
0.5695627484383873,1.0,6.839795887144855e-05
0.5698863636363637,1.0,7.129985619025233e-05
0.5702103467879477,1.0,7.298100776904158e-05
0.5708594194649972,1.0,7.336490523516715e-05
0.5737986270022883,1.0,7.889227442907171e-05
0.5744558991981672,1.0,7.930012309289623e-05
