threshold,precision,recall,f1,false_positives,false_negatives
0.1,0.8048289738430584,0.9972575417601596,0.8907694020710388,970,11
0.2,0.847544120773974,0.993767140363999,0.9148496672022034,717,25
0.3,0.8766850828729281,0.9890301670406383,0.9294751640112465,558,44
0.4,0.9001374255611544,0.9798055347793567,0.9382833950101468,436,81
0.5,0.9253517767708085,0.9673398155073548,0.9458800585080449,313,131
0.6,0.9450686641697877,0.943654948890551,0.9443612774451098,220,226
0.7,0.9608417687799681,0.8992769882822239,0.9290405666452028,147,404
0.8,0.9754146919431279,0.8209922712540514,0.891566265060241,83,718
0.9,0.9906810035842294,0.6891049613562703,0.8128216438759006,26,1247
