feature,importance
failure_rate,0.19382758756434085
success_rate,0.15519699984712215
request_velocity_per_sec,0.10430339294551422
otp_requests,0.09779249166239334
unique_phone_count,0.0868797482394018
device_phone_ratio,0.05774290135965585
risk_country_ratio,0.055270053661170465
avg_interarrival_ms,0.053130474730909816
repeat_ip_ratio,0.045016793242593126
new_account_ratio,0.0269627815281945
ip_phone_ratio,0.02442737345342977
repeat_phone_ratio,0.02015010321123327
unique_device_count,0.017561339780366513
sequential_phone_score,0.017431144816369194
carrier_entropy,0.013856612478459644
prefix_concentration,0.013203985923053317
unique_ip_count,0.007855946584183801
country_entropy,0.005255410461145136
night_request_ratio,0.004134858510463405
window_seconds,0.0
