fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0009970089730807576,0.9972969308986135
0.0,0.5304087736789631,0.9504171210406009
0.0007158196134574087,0.5304087736789631,0.9499882254307996
0.0007158196134574087,0.5643070787637089,0.9411808249844777
0.0014316392269148174,0.5643070787637089,0.9411557512444926
0.0014316392269148174,0.580259222333001,0.9373961825586985
0.0021474588403722263,0.580259222333001,0.9372579753384851
0.0021474588403722263,0.6181455633100698,0.9301245477533492
0.002863278453829635,0.6181455633100698,0.929634547869501
0.002863278453829635,0.6360917248255235,0.923584279506963
0.0035790980672870437,0.6360917248255235,0.9233397296899172
0.0035790980672870437,0.6679960119641076,0.9134593916716953
0.004294917680744453,0.6679960119641076,0.9132157969628675
0.004294917680744453,0.7088733798604188,0.8959010802372748
0.005010737294201861,0.7088733798604188,0.8943386341144668
0.005010737294201861,0.7517447657028913,0.8739693746556684
0.00572655690765927,0.7517447657028913,0.8733575072751294
0.00572655690765927,0.7637088733798604,0.8653261405785209
0.006442376521116679,0.7637088733798604,0.8650036386154226
0.006442376521116679,0.7826520438683948,0.8476593283112643
0.0071581961345740875,0.7826520438683948,0.8465999735820915
0.0071581961345740875,0.8185443668993021,0.8216467402564821
0.007874015748031496,0.8185443668993021,0.8200812275336805
0.007874015748031496,0.8235294117647058,0.8142698399324506
0.008589835361488905,0.8235294117647058,0.8141656538834088
0.008589835361488905,0.8374875373878365,0.8022552122888013
0.009305654974946313,0.8374875373878365,0.8021950190075813
0.009305654974946313,0.8454636091724825,0.794123903940279
0.010737294201861132,0.8454636091724825,0.7937143508551344
0.010737294201861132,0.8464606181455633,0.7932296150940328
0.01145311381531854,0.8464606181455633,0.7928853187359355
0.01145311381531854,0.8564307078763709,0.7866373156598236
0.012168933428775949,0.8564307078763709,0.7863792066248542
0.012168933428775949,0.8584247258225324,0.7855617750943074
0.013600572655690766,0.8584247258225324,0.7828327952087347
0.013600572655690766,0.8713858424725822,0.7698740654166213
0.014316392269148175,0.8713858424725822,0.7686818907701238
0.014316392269148175,0.872382851445663,0.768650053920091
0.015032211882605583,0.872382851445663,0.7682178956282039
0.015032211882605583,0.8733798604187437,0.7647482316600279
0.015748031496062992,0.8733798604187437,0.7643373487964887
0.015748031496062992,0.8813559322033898,0.7487292847762413
0.0164638511095204,0.8813559322033898,0.7457103560126911
0.0164638511095204,0.8843469591226321,0.7426359614573151
0.01717967072297781,0.8843469591226321,0.7397047251472119
0.01717967072297781,0.8963110667996012,0.7235619525689155
0.018611309949892626,0.8963110667996012,0.7169851384617382
0.018611309949892626,0.8973080757726819,0.7133447485689762
0.019327129563350035,0.8973080757726819,0.7127204472450313
0.019327129563350035,0.9002991026919243,0.7092508582331623
0.020042949176807445,0.9002991026919243,0.708100346021478
0.020042949176807445,0.901296111665005,0.6995857970133967
0.021474588403722263,0.901296111665005,0.6991059160295253
0.021474588403722263,0.9042871385842473,0.6945966618224398
0.02219040801717967,0.9042871385842473,0.6923633198221103
0.02219040801717967,0.909272183449651,0.6843173875799836
0.02290622763063708,0.909272183449651,0.6834811354547108
0.02290622763063708,0.9322033898305084,0.6535369028546719
0.023622047244094488,0.9322033898305084,0.6532169135376067
0.023622047244094488,0.93419740777667,0.6513176375754453
0.024337866857551897,0.93419740777667,0.6507973042796339
0.024337866857551897,0.9351944167497508,0.6488951968141407
0.025053686471009307,0.9351944167497508,0.6462719948740452
0.025053686471009307,0.9411764705882353,0.633439925178614
0.026485325697924122,0.9411764705882353,0.6333372653365383
0.026485325697924122,0.9501495513459621,0.6186923636412445
0.02720114531138153,0.9501495513459621,0.6178526152221601
0.02720114531138153,0.9601196410767697,0.5876957364416688
0.02863278453829635,0.9601196410767697,0.5870496256111396
0.02863278453829635,0.9651046859421735,0.5749149878742219
0.02934860415175376,0.9651046859421735,0.5698549210671293
0.02934860415175376,0.9700897308075773,0.5622507747110619
0.031496062992125984,0.9700897308075773,0.557814537222948
0.031496062992125984,0.9720837487537388,0.5565736172065097
0.0329277022190408,0.9720837487537388,0.5510399554933657
0.0329277022190408,0.9750747756729811,0.5355163178035858
0.03435934144595562,0.9750747756729811,0.5258737837025144
0.03435934144595562,0.9760717846460618,0.522439666950175
0.03793843951324266,0.9760717846460618,0.5077787583517069
0.03793843951324266,0.9770687936191426,0.5042728901310348
0.0408017179670723,0.9770687936191426,0.48954743683876756
0.0408017179670723,0.9780658025922233,0.48918167851998695
